Month,Maximum Temperature,Error,Occurrence of Heat Waves
Jan-23,29.71182743,0.009450835,No
Feb-23,32.80864742,0.020664083,No
Mar-23,35.29027113,0.010612913,No
Apr-23,38.79647976,0.009473985,May occur
May-23,40.9300598,0.014078795,Yes
Jun-23,36.44179236,0.021647599,No
Jul-23,32.32115815,0.011219646,No
Aug-23,31.84078181,0.009404731,No
Sep-23,32.26971593,0.004222299,No
Oct-22,32.78738575,0.005080183,No
Nov-22,31.76623403,0.002017257,No
Dec-22,30.27474238,0.007594237,No
