Month(start date),AQI,AQI_Status
01-01-2023,86.85744647,Satisfactory
01-02-2023,81.73690413,
01-03-2023,78.51678973,
01-04-2023,76.49178221,
01-05-2023,75.21833197,
01-06-2023,74.41750753,
01-07-2023,73.91389948,
01-08-2023,73.59719953,
01-09-2023,73.39803897,
01-10-2023,73.27279446,
01-11-2023,73.19403296,
01-12-2023,73.14450284,
